ID,Пол,Возраст,Родной язык,Язык интерфейс,Владение KZ,Владение RU,Владение EN,Регион/ Область,Населённый пункт,Миграционный статус,ПМЖ,Локация внутренней миграции,Прописка,Гражданство/проживание,Этап жизни,Триггер/привычка
Число,М/Ж,Число,kk / ru / оба,kk / ru ,базовый / средний / высокий,базовый / средний / высокий,базовый / средний / высокий,юг / север / восток / запад / центр,город / райцентр / аул,внутренний мигрант / внешний мигрант / постоянное место жительства / номад (не резидент РК),Город в котором живет постоянно,Города между которыми живет ,есть / нет,гражданин / ПМЖ / временно,ребенок / школьник / студент / работающий / безработный / пенсионер / декрет,текст
001,М,28,kk,ru,высокий,средний,базовый,юг,город,внутренний мигрант,Алматы,"Шымкент, Алматы",есть,гражданин,работающий,"Вырос в ауле, переехал в город ради учебы и работы. Чувствует себя немного чужим в большом городе, поэтому старается сохранять традиции и часто ездит в родной аул. Это дает ему чувство корней и стабильности."
002,Ж,45,ru,ru,средний,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Переехала из севера в центр в молодости. Чувство оторванности от корней компенсирует созданием очень стабильной и предсказуемой семейной жизни, что иногда воспринимается детьми как гиперконтроль."
003,М,65,kk,kk,высокий,базовый,базовый,запад,аул,постоянное место жительства,Атырауская область,,есть,гражданин,пенсионер,"Распад СССР и экономическая нестабильность 90-х создали привычку к тотальной экономии и накоплению 'на черный день', даже когда в этом нет необходимости."
004,Ж,22,ru,ru,средний,высокий,высокий,центр,город,постоянное место жительства,Алматы,,есть,гражданин,студент,"Росла в обеспеченной семье, где все решения принимали за нее. В результате испытывает страх перед ответственностью и трудности с принятием самостоятельных решений."
005,М,35,ru,ru,средний,высокий,базовый,восток,город,внутренний мигрант,Усть-Каменогорск,"Усть-Каменогорск, Астана",нет,гражданин,безработный,"Внезапное закрытие завода, где он работал, породило глубокий страх перед нестабильностью. Теперь он избегает проектной или временной работы, упуская возможности."
006,Ж,30,kk,kk,высокий,средний,базовый,юг,райцентр,постоянное место жительства,Туркестанская область,,есть,гражданин,декрет,"Будучи старшим ребенком в многодетной семье, она с детства взяла на себя роль заботливой 'матери'. Этот паттерн определил ее выбор в пользу семьи, а не карьеры."
007,М,19,ru,ru,базовый,высокий,средний,север,город,постоянное место жительства,Костанай,,есть,гражданин,студент,Врожденное заболевание ограничивало его физическую активность в детстве. Это привело к развитию интеллектуальных увлечений и привычке проводить большую часть времени в виртуальном мире.
008,Ж,50,ru,ru,средний,высокий,базовый,запад,райцентр,постоянное место жительства,Актюбинская область,,есть,гражданин,работающий,Тяжелый развод и финансовые трудности в прошлом породили в ней железную волю к независимости. Она склонна всё контролировать и с трудом доверяет людям в бизнесе и личной жизни.
009,М,25,оба,ru,базовый,высокий,высокий,юг,город,номад (не резидент РК),Алматы,,нет,временно,работающий,"Рутинная офисная работа в прошлом вызвала у него отвращение к стабильности. Теперь он постоянно ищет новые впечатления и избегает долгосрочных обязательств, как в работе, так и в отношениях."
010,Ж,16,ru,ru,средний,высокий,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,школьник,"Постоянное давление родителей по поводу успеваемости вызывает у нее тревогу и внутренний протест, который она выражает через свое творчество, создавая мрачные и бунтарские рисунки."
011,Ж,38,kk,kk,высокий,средний,базовый,юг,город,внутренний мигрант,Шымкент,"аул в Туркестанской обл., Шымкент",есть,гражданин,работающий,"Ранний брак и давление семьи по поводу рождения детей привели к ощущению нереализованности в карьере, что она компенсирует чрезмерным контролем за успехами своих учеников."
012,М,42,ru,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,"Чувство вины из-за постоянного отсутствия дома (вахтовая работа) заставляет его задаривать детей дорогими подарками, что привело к их избалованности и потребительскому отношению."
013,Ж,55,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,"Жизнь в стабильной и предсказуемой среде без перемен сделала ее ригидной и нетерпимой к любым изменениям, что вызывает постоянные конфликты с повзрослевшими детьми."
014,М,29,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,село Катон-Карагай,,есть,гражданин,работающий,"Тяжелый физический труд с раннего детства сформировал у него привычку 'терпеть и не жаловаться', что мешает ему обращаться за медицинской помощью даже при серьезных проблемах."
015,М,24,ru,ru,средний,высокий,высокий,центр,город,внутренний мигрант,Астана,"Караганда, Астана",нет,гражданин,работающий,"Быстрый карьерный рост в IT-сфере породил 'синдром самозванца'. Он постоянно работает сверхурочно, чтобы доказать себе и другим, что он заслуживает своего положения."
016,Ж,20,kk,ru,высокий,средний,средний,юг,город,внутренний мигрант,Алматы,"Тараз, Алматы",нет,гражданин,студент,"Переезд в большой город вызвал комплекс 'провинциалки'. Она тратит почти всю стипендию и деньги от родителей на брендовую одежду, чтобы казаться 'своей' в новой среде."
017,М,33,оба,ru,базовый,средний,базовый,запад,город,внешний мигрант,Актау,,нет,временно,работающий,"Юридическая незащищенность и тревога за семью, оставшуюся в другой стране, привели к тотальному недоверию к людям и властям. Он старается быть максимально незаметным."
018,Ж,48,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Костанай,,есть,гражданин,работающий,Тяжелый развод и необходимость в одиночку воспитывать ребенка сформировали у нее установку 'я все могу сама'. Ей трудно просить о помощи и строить новые доверительные отношения.
019,М,60,ru,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,пенсионер,"Ухудшение здоровья после выхода на пенсию, связанное с плохой экологией, породило ипохондрию и навязчивое стремление лечиться народными средствами, игнорируя врачей."
020,Ж,31,ru,ru,средний,высокий,средний,центр,город,внутренний мигрант,Астана,"Павлодар, Астана",есть,гражданин,работающий,Карьерная гонка в конкурентной среде госслужбы привела к эмоциональному выгоранию. Она находит утешение в импульсивных и дорогих онлайн-покупках.
021,М,22,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,работающий,"Отсутствие высшего образования на фоне более успешных сверстников создало комплекс неполноценности. Он избегает любых интеллектуальных споров, боясь показаться глупым."
022,Ж,28,kk,ru,высокий,средний,базовый,запад,райцентр,постоянное место жительства,Аксай,,есть,гражданин,декрет,"Социальная изоляция, пока муж на вахте, привела к развитию зависимости от социальных сетей, где она создает идеализированный и далекий от реальности образ своей жизни."
023,М,39,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Кокшетау,,есть,гражданин,работающий,"Невозможность обеспечить семью желаемым уровнем жизни из-за низкого дохода породила привычку брать микрокредиты 'до зарплаты', что загнало семью в долговую яму."
024,Ж,19,оба,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Семей,,есть,гражданин,студент,Рассказы старших о последствиях ядерного полигона сформировали у нее повышенную тревожность за свое здоровье и канцерофобию (боязнь заболеть раком).
025,М,50,ru,ru,базовый,высокий,высокий,центр,город,номад (не резидент РК),Астана,,нет,временно,работающий,Предыдущий опыт работы в душном офисе с 9 до 6 вызвал отвращение к любой рутине. 'Цифровое кочевничество' для него - способ избежать обязательств и ответственности.
026,М,35,оба,ru,высокий,высокий,средний,юг,город,внутренний мигрант,Алматы,"Алматы, Шымкент",есть,гражданин,работающий,"Стремление к стабильности из-за частых переездов в детстве, привычка работать на одном месте."
027,Ж,28,kk,kk,высокий,средний,базовый,запад,аул,постоянное место жительства,Атырау,,есть,гражданин,декрет,"Привычка заботиться о близких, так как была старшим ребенком в многодетной семье."
028,М,42,ru,ru,средний,высокий,высокий,север,город,внешний мигрант,Астана,,нет,ПМЖ,работающий,Перфекционизм и трудоголизм как способ доказать свою ценность после иммиграции.
029,Ж,22,оба,ru,высокий,высокий,высокий,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,студент,"Страх публичных выступлений из-за буллинга в школе, избегает презентаций."
030,М,55,kk,kk,высокий,базовый,базовый,центр,райцентр,постоянное место жительства,Караганда,,есть,гражданин,работающий,Привычка к физическому труду и недоверие к 'офисной' работе из-за воспитания в рабочей семье.
031,Ж,19,ru,ru,базовый,высокий,средний,юг,город,постоянное место жительства,Алматы,,есть,гражданин,студент,Склонность к созависимым отношениям из-за недостатка внимания в детстве.
032,М,31,оба,kk,высокий,средний,базовый,запад,город,внутренний мигрант,Актау,"Актау, Атырау",есть,гражданин,работающий,Привычка экономить на всем из-за финансовых трудностей семьи в 90-е.
033,Ж,65,ru,ru,средний,высокий,базовый,север,город,постоянное место жительства,Костанай,,есть,гражданин,пенсионер,Повышенная тревожность за здоровье после пережитых осложнений при родах.
034,М,25,kk,kk,высокий,базовый,базовый,юг,аул,внутренний мигрант,Туркестан,"Туркестан, Шымкент",нет,гражданин,безработный,Избегание ответственности из-за гиперопеки со стороны матери.
035,Ж,38,оба,ru,высокий,высокий,средний,восток,город,постоянное место жительства,Семей,,есть,гражданин,работающий,Синдром самозванца на работе из-за постоянного сравнения с более успешной сестрой.
036,М,17,kk,kk,высокий,средний,базовый,центр,аул,постоянное место жительства,Жезказган,,есть,гражданин,школьник,Агрессивное поведение как защитная реакция на буллинг в младших классах.
037,Ж,29,ru,ru,средний,высокий,высокий,юг,город,внешний мигрант,Алматы,,нет,временно,декрет,Привычка к частой смене обстановки и круга общения из-за кочевого образа жизни семьи.
038,М,48,оба,ru,средний,высокий,базовый,север,райцентр,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,Недоверие к людям из-за предательства партнера по бизнесу в молодости.
039,Ж,33,kk,kk,высокий,базовый,базовый,запад,город,постоянное место жительства,Уральск,,есть,гражданин,работающий,Страх вступать в серьезные отношения из-за тяжелого развода родителей.
040,М,21,ru,ru,базовый,высокий,средний,восток,город,постоянное место жительства,Павлодар,,есть,гражданин,студент,Зависимость от мнения окружающих из-за авторитарного стиля воспитания отца.
041,Ж,29,kk,kk,высокий,средний,базовый,юг,город,внутренний мигрант,Шымкент,из села Шаян в Шымкент,есть,гражданин,декрет,"Сильная привязанность к семье и традициям, даже после переезда в город."
042,М,38,оба,ru,средний,высокий,средний,запад,город,номад (не резидент РК),Атырау,"Атырау, Актау",нет,временно,работающий,Привычка к одиночеству и самостоятельности из-за вахтовой работы и жизни вдали от семьи.
043,Ж,45,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Кокшетау,,есть,гражданин,работающий,Консерватизм и нежелание что-либо менять в жизни из-за стабильного и предсказуемого детства.
044,М,24,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,село Катон-Карагай,,есть,гражданин,работающий,Глубокая связь с природой и неприязнь к большим городам из-за жизни в сельской местности.
045,Ж,22,оба,ru,высокий,высокий,высокий,центр,город,внутренний мигрант,Астана,из Караганды в Астану,нет,гражданин,студент,"Амбициозность и стремление к карьерному росту, чтобы оправдать ожидания семьи, вложившейся в ее переезд и учебу."
046,М,50,kk,kk,высокий,средний,базовый,юг,райцентр,постоянное место жительства,Сарыагаш,,есть,гражданин,работающий,"Авторитарность и привычка все контролировать из-за роли старшего сына, на которого рано легла ответственность."
047,Ж,31,ru,ru,средний,высокий,средний,запад,город,внутренний мигрант,Актау,из Уральска в Актау,есть,гражданин,работающий,Постоянная тревога о будущем и привычка создавать финансовую 'подушку' из-за нестабильной работы мужа-вахтовика.
048,М,60,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,пенсионер,Привычка к рутине и неприятие современных технологий из-за работы на одном заводе всю жизнь.
049,Ж,27,kk,kk,высокий,базовый,базовый,восток,город,внутренний мигрант,Семей,из аула в Семей,нет,гражданин,безработный,Заниженная самооценка и страх проявлять инициативу из-за строгого воспитания в деревне.
050,М,33,оба,ru,средний,высокий,высокий,центр,город,номад (не резидент РК),Астана,"Астана, Алматы, Караганда",нет,ПМЖ,работающий,Легкость на подъем и неспособность долго оставаться на одном месте из-за частых переездов в детстве с родителями-военными.
051,М,45,kk,kk,высокий,базовый,базовый,юг,аул,постоянное место жительства,аул Акжарма,,есть,гражданин,работающий,"Привычка полагаться только на себя и недоверие к государственным институтам, сформированное опытом фермерства в 90-е."
052,Ж,29,оба,ru,средний,высокий,высокий,запад,город,внутренний мигрант,Актау,из Атырау в Актау,есть,гражданин,работающий,Трудоголизм и откладывание личной жизни 'на потом' как способ доказать свою независимость в мужской нефтегазовой среде.
053,М,62,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,пенсионер,"Сентиментальность и привычка к одиночеству после смерти жены, избегание шумных компаний."
054,Ж,23,оба,ru,средний,высокий,средний,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,студент,"Обостренное чувство справедливости и тревога за будущее, вызванные жизнью в экологически неблагополучном регионе."
055,М,31,ru,ru,средний,высокий,высокий,центр,город,номад (не резидент РК),Астана,"Астана, Алматы",нет,временно,работающий,"Страх привязанности и привычка 'сбегать' при первых трудностях в отношениях, сформированные кочевым образом жизни."
056,Ж,20,kk,kk,высокий,средний,базовый,юг,город,внутренний мигрант,Шымкент,из аула в Шымкент,нет,гражданин,студент,"Стремление быть 'правильной' и соответствовать ожиданиям религиозной семьи, подавление собственных желаний."
057,М,36,оба,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Актобе,,есть,гражданин,работающий,Цинизм и эмоциональная закрытость как защитная реакция на развод и частые разлуки с ребенком.
058,Ж,50,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Кокшетау,,есть,гражданин,работающий,"Привычка жить интересами семьи и растворяться в муже и детях, страх остаться 'ненужной'."
059,М,28,оба,ru,средний,высокий,базовый,восток,райцентр,постоянное место жительства,Риддер,,есть,гражданин,работающий,"Потребность в уединении и неприязнь к большим скоплениям людей, сформированная работой в лесу."
060,Ж,38,ru,ru,средний,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,декрет,"Гиперответственность и стремление все контролировать, так как после развода приходится рассчитывать только на себя."
061,М,19,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Тараз,,есть,гражданин,безработный,"Потерянность и отсутствие целей после жесткой дисциплины в армии, трудности с адаптацией к 'гражданке'."
062,Ж,42,ru,ru,средний,высокий,высокий,запад,город,внешний мигрант,Атырау,,нет,ПМЖ,работающий,Привычка к 'красивой жизни' и демонстративному потреблению как способ компенсации внутренней пустоты и жизни вдали от родины.
063,М,26,kk,kk,высокий,средний,базовый,север,аул,внутренний мигрант,село Кишкенеколь,из города в аул,есть,гражданин,работающий,"Идеализм и желание возродить аул, столкнувшиеся с консерватизмом и недоверием односельчан."
064,Ж,35,оба,ru,высокий,высокий,средний,восток,город,постоянное место жительства,Семей,,есть,гражданин,работающий,Меланхолия и уход в творчество как способ справиться с 'генетической' травмой и историей родного города.
065,М,29,ru,ru,базовый,высокий,высокий,центр,город,внешний мигрант,Караганда,,нет,временно,работающий,Постоянное сравнение новой жизни с прошлой и чувство 'чужого среди своих' после релокации.
066,Ж,28,оба,ru,высокий,высокий,средний,юг,город,внутренний мигрант,Алматы,из Тараза в Алматы,нет,гражданин,работающий,Стремление к независимости и неприятие традиционных гендерных ролей как реакция на патриархальное воспитание.
067,М,55,ru,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Атырау,,есть,гражданин,работающий,Эмоциональная усталость и желание простого человеческого общения после десятилетий работы в суровых условиях вахты.
068,Ж,32,ru,ru,средний,высокий,средний,север,город,постоянное место жительства,Костанай,,есть,гражданин,работающий,Профессиональный цинизм и эмоциональная дистанция как защита от ежедневного столкновения с болезнями и страданиями.
069,М,48,kk,kk,высокий,базовый,базовый,восток,аул,постоянное место жительства,аул Маралиха,,есть,гражданин,работающий,"Привычка к тишине и медленному темпу жизни, раздражение от городской суеты и шума."
070,Ж,24,оба,ru,высокий,высокий,высокий,центр,город,внутренний мигрант,Астана,из Павлодара в Астану,нет,гражданин,работающий,"Синдром самозванца и постоянная потребность в валидации (лайки, комментарии) из-за высокой конкуренции в столичной среде."
071,М,39,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Туркестан,,есть,гражданин,работающий,"Привычка давать советы и наставления даже вне работы, строгое следование ритуалам."
072,Ж,21,оба,kk,высокий,средний,средний,запад,город,постоянное место жительства,Уральск,,есть,гражданин,студент,"Желание доказать, что она может добиться успеха в 'мужской' профессии (нефтяник), вопреки стереотипам."
073,М,41,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,"Идеализация семейной жизни и быта, так как дома бывает редко и видит только 'праздничную' сторону."
074,Ж,63,ru,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Семей,,есть,гражданин,пенсионер,"Ностальгия по советскому прошлому и идеализация молодости, неприятие современных ценностей."
075,М,35,оба,ru,средний,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Привычка к формализму и бюрократии, использование канцеляризмов в обычной речи."
076,Ж,26,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,декрет,"Страх остаться без финансовой поддержки мужа, что заставляет терпеть его авторитарный характер."
077,М,30,оба,ru,средний,высокий,высокий,запад,город,постоянное место жительства,Актау,,есть,гражданин,работающий,"Конфликт западного рабочего менталитета (инициативность, work-life balance) с местными реалиями."
078,Ж,29,ru,ru,базовый,высокий,базовый,север,аул,постоянное место жительства,село Смирново,,есть,гражданин,работающий,Привычка к тяжелому физическому труду и недоверие к 'легким' деньгам и городским профессиям.
079,М,22,ru,ru,средний,высокий,средний,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,безработный,Прокрастинация и ожидание 'вдохновения' как способ избежать страха неудачи и критики.
080,Ж,45,ru,ru,средний,высокий,высокий,центр,город,постоянное место жительства,Караганда,,есть,гражданин,работающий,Жесткость и бескомпромиссность в суждениях как следствие профессиональной деформации юриста и тяжелого развода.
081,М,33,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,работающий,Склонность к риску и авантюрам в бизнесе как следствие 'уличного' воспитания и необходимости 'крутиться' с юных лет.
082,Ж,25,kk,kk,высокий,базовый,базовый,запад,аул,постоянное место жительства,аул Жана-Омир,,есть,гражданин,работающий,"Идеализм и жертвенность, сформированные решением вернуться в родной аул после учебы, чтобы поднимать образование."
083,М,45,ru,ru,базовый,высокий,базовый,центр,город,постоянное место жительства,Темиртау,,есть,гражданин,работающий,"Привычка 'терпеть' и не жаловаться, выработанная десятилетиями работы на вредном производстве в условиях моногорода."
084,Ж,29,ru,ru,средний,высокий,средний,восток,райцентр,постоянное место жительства,Зыряновск,,есть,гражданин,работающий,"Эмоциональная стойкость и 'толстокожесть' как профессиональная деформация ветеринара, работающего в суровых сельских условиях."
085,М,22,оба,ru,средний,высокий,высокий,центр,город,внутренний мигрант,Астана,из Экибастуза в Астану,нет,гражданин,студент,"Перфекционизм и страх 'не оправдать надежд', так как на его переезд и учебу в столице скидывалась вся большая семья."
086,Ж,40,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Тараз,,есть,гражданин,декрет,"Полное растворение в роли матери и хозяйки, потеря личных интересов и амбиций после рождения пятого ребенка."
087,М,28,оба,ru,средний,высокий,средний,запад,город,постоянное место жительства,Актау,,есть,гражданин,работающий,"Фатализм и легкое отношение к деньгам ('пришли-ушли'), свойственное морякам, проводящим месяцы в изоляции от 'земной' жизни."
088,Ж,55,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,"Привычка к тишине и порядку, раздражение от громких звуков и суеты как следствие многолетней работы в библиотеке."
089,М,31,ru,ru,средний,высокий,средний,восток,райцентр,номад (не резидент РК),Риддер,"Алтай, ВКО",есть,гражданин,работающий,"Презрение к офисной работе и материальным ценностям, сформированное жизнью в горах и общением с туристами-дауншифтерами."
090,Ж,38,оба,ru,средний,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Привычка 'сканировать' людей и давать им оценку как профессиональная деформация HR-директора, перенесенная в личную жизнь."
091,М,21,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Капшагай,,есть,гражданин,работающий,Повышенная агрессивность и резкость в общении как следствие службы в десантно-штурмовых войсках.
092,Ж,34,ru,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Уральск,,есть,гражданин,безработный,Тревожность и гиперопека над детьми как способ компенсировать долгое отсутствие мужа и реализовать себя.
093,М,27,ru,ru,базовый,высокий,высокий,север,город,внутренний мигрант,Костанай,из Рудного в Костанай,нет,гражданин,работающий,Социальная неловкость и предпочтение онлайн-общения живому как результат многолетней удаленной работы.
094,Ж,50,оба,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Семей,,есть,гражданин,работающий,"Гостеприимство и желание всех 'накормить', сформированное работой в сфере общественного питания."
095,М,42,ru,ru,базовый,высокий,базовый,центр,город,постоянное место жительства,Караганда,,есть,гражданин,работающий,Поверхностное общение и нежелание заводить близкие знакомства из-за постоянного потока случайных людей в работе таксиста.
096,Ж,19,оба,ru,высокий,высокий,высокий,юг,город,постоянное место жительства,Алматы,,нет,гражданин,студент,Гедонизм и жизнь 'здесь и сейчас' как реакция на гиперопеку и строгий контроль в школе.
097,М,37,оба,ru,средний,высокий,средний,запад,город,внутренний мигрант,Атырау,из Актобе в Атырау,есть,гражданин,работающий,"Экологический алармизм и пессимизм, развившиеся в результате многолетней безуспешной борьбы с промышленными гигантами."
098,Ж,65,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Кокшетау,,есть,гражданин,пенсионер,"Привычка экономить на всем и создавать запасы 'на черный день', унаследованная от родителей, переживших дефицит."
099,М,26,ru,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,работающий,"Привычка к тяжелому физическому труду и простому быту, недоверие к 'умникам' и креативному классу."
100,Ж,31,оба,ru,средний,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,Демонстративная независимость и страх близких отношений как защитная реакция после болезненного развода.
101,М,28,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Кызылорда,,есть,гражданин,работающий,"Страх проявлять инициативу и привычка 'не высовываться', сформированные иерархической структурой на госслужбе."
